kit_number,player_name,club,position,age,market_value_eur,nationality,birth_date
12.0,Joan García,Barcelona,GK,24,25000000.0,Spain,"May 4, 2001 (24)"
1.0,Marc-André ter Stegen,Barcelona,GK,33,12000000.0,Germany,"Apr 30, 1992 (33)"
13.0,Iñaki Peña,Barcelona,GK,26,2000000.0,Spain,"Mar 2, 1999 (26)"
25.0,Wojciech Szczesny,Barcelona,GK,35,1000000.0,Poland,"Apr 18, 1990 (35)"
5.0,Pau Cubarsí,Barcelona,CB,18,80000000.0,Spain,"Jan 22, 2007 (18)"
4.0,Ronald Araujo,Barcelona,CB,26,35000000.0,Uruguay,"Mar 7, 1999 (26)"
24.0,Eric García,Barcelona,CB,24,18000000.0,Spain,"Jan 9, 2001 (24)"
15.0,Andreas Christensen,Barcelona,CB,29,12000000.0,Denmark,"Apr 10, 1996 (29)"
3.0,Alejandro Balde,Barcelona,LB,21,60000000.0,Spain,"Oct 18, 2003 (21)"
,Gerard Martín,Barcelona,LB,23,12000000.0,Spain,"Feb 26, 2002 (23)"
23.0,Jules Koundé,Barcelona,RB,26,65000000.0,France,"Nov 12, 1998 (26)"
32.0,Héctor Fort,Barcelona,RB,19,10000000.0,Spain,"Aug 2, 2006 (19)"
17.0,Marc Casadó,Barcelona,CDM,21,30000000.0,Spain,"Sep 14, 2003 (21)"
28.0,Marc Bernal,Barcelona,CM,18,26000000.0,Spain,"May 26, 2007 (18)"
18.0,Oriol Romeu,Barcelona,CDM,33,1200000.0,Spain,"Sep 24, 1991 (33)"
8.0,Pedri,Barcelona,CM,22,140000000.0,Spain,"Nov 25, 2002 (22)"
6.0,Gavi,Barcelona,CM,21,60000000.0,Spain,"Aug 5, 2004 (21)"
21.0,Frenkie de Jong,Barcelona,CM,28,45000000.0,Netherlands,"May 12, 1997 (28)"
20.0,Dani Olmo,Barcelona,CAM,27,60000000.0,Spain,"May 7, 1998 (27)"
16.0,Fermín López,Barcelona,CM,22,50000000.0,Spain,"May 11, 2003 (22)"
11.0,Raphinha,Barcelona,LW,28,90000000.0,Brazil,"Dec 14, 1996 (28)"
14.0,Marcus Rashford,Barcelona,LW,27,50000000.0,England,"Oct 31, 1997 (27)"
10.0,Lamine Yamal,Barcelona,RW,18,200000000.0,Spain,"Jul 13, 2007 (18)"
7.0,Ferran Torres,Barcelona,CF,25,40000000.0,Spain,"Feb 29, 2000 (25)"
9.0,Robert Lewandowski,Barcelona,CF,36,12000000.0,Poland,"Aug 21, 1988 (36)"
1.0,Thibaut Courtois,Real Madrid,GK,33,20000000.0,Belgium,"May 11, 1992 (33)"
13.0,Andriy Lunin,Real Madrid,GK,26,18000000.0,Ukraine,"Feb 11, 1999 (26)"
26.0,Fran González,Real Madrid,GK,20,400000.0,Spain,"Jun 24, 2005 (20)"
24.0,Dean Huijsen,Real Madrid,CB,20,60000000.0,Spain,"Apr 14, 2005 (20)"
17.0,Raúl Asencio,Real Madrid,CB,22,40000000.0,Spain,"Feb 13, 2003 (22)"
3.0,Éder Militão,Real Madrid,CB,27,30000000.0,Brazil,"Jan 18, 1998 (27)"
22.0,Antonio Rüdiger,Real Madrid,CB,32,20000000.0,Germany,"Mar 3, 1993 (32)"
4.0,David Alaba,Real Madrid,CB,33,6000000.0,Austria,"Jun 24, 1992 (33)"
18.0,Álvaro Carreras,Real Madrid,LB,22,35000000.0,Spain,"Mar 23, 2003 (22)"
20.0,Fran García,Real Madrid,LB,25,18000000.0,Spain,"Aug 14, 1999 (25)"
23.0,Ferland Mendy,Real Madrid,LB,30,14000000.0,France,"Jun 8, 1995 (30)"
12.0,Trent Alexander-Arnold,Real Madrid,RB,26,75000000.0,England,"Oct 7, 1998 (26)"
2.0,Daniel Carvajal,Real Madrid,RB,33,8000000.0,Spain,"Jan 11, 1992 (33)"
14.0,Aurélien Tchouaméni,Real Madrid,CDM,25,75000000.0,France,"Jan 27, 2000 (25)"
8.0,Federico Valverde,Real Madrid,CM,27,130000000.0,Uruguay,"Jul 22, 1998 (27)"
6.0,Eduardo Camavinga,Real Madrid,CM,22,60000000.0,France,"Nov 10, 2002 (22)"
19.0,Dani Ceballos,Real Madrid,CM,29,10000000.0,Spain,"Aug 7, 1996 (29)"
5.0,Jude Bellingham,Real Madrid,CAM,22,180000000.0,England,"Jun 29, 2003 (22)"
15.0,Arda Güler,Real Madrid,CAM,20,45000000.0,Türkiye,"Feb 25, 2005 (20)"
7.0,Vinicius Junior,Real Madrid,LW,25,170000000.0,Brazil,"Jul 12, 2000 (25)"
11.0,Rodrygo,Real Madrid,RW,24,90000000.0,Brazil,"Jan 9, 2001 (24)"
21.0,Brahim Díaz,Real Madrid,RW,26,40000000.0,Morocco,"Aug 3, 1999 (26)"
10.0,Kylian Mbappé,Real Madrid,CF,26,180000000.0,France,"Dec 20, 1998 (26)"
9.0,Endrick,Real Madrid,CF,19,35000000.0,Brazil,"Jul 21, 2006 (19)"
16.0,Gonzalo García,Real Madrid,CF,21,24000000.0,Spain,"Mar 24, 2004 (21)"
13.0,Jan Oblak,Atletico Madrid,GK,32,20000000.0,Slovenia,"Jan 7, 1993 (32)"
1.0,Juan Musso,Atletico Madrid,GK,31,6000000.0,Argentina,"May 6, 1994 (31)"
24.0,Robin Le Normand,Atletico Madrid,CB,28,40000000.0,Spain,"Nov 11, 1996 (28)"
17.0,Dávid Hancko,Atletico Madrid,CB,27,30000000.0,Slovakia,"Dec 13, 1997 (27)"
2.0,José María Giménez,Atletico Madrid,CB,30,20000000.0,Uruguay,"Jan 20, 1995 (30)"
15.0,Clément Lenglet,Atletico Madrid,CB,30,7500000.0,France,"Jun 17, 1995 (30)"
3.0,Matteo Ruggeri,Atletico Madrid,LB,23,16000000.0,Italy,"Jul 11, 2002 (23)"
21.0,Javi Galán,Atletico Madrid,LB,30,4000000.0,Spain,"Nov 19, 1994 (30)"
16.0,Nahuel Molina,Atletico Madrid,RB,27,20000000.0,Argentina,"Apr 6, 1998 (27)"
18.0,Marc Pubill,Atletico Madrid,RB,22,4000000.0,Spain,"Jun 20, 2003 (22)"
8.0,Pablo Barrios,Atletico Madrid,CM,22,55000000.0,Spain,"Jun 15, 2003 (22)"
4.0,Conor Gallagher,Atletico Madrid,CM,25,40000000.0,England,"Feb 6, 2000 (25)"
5.0,Johnny Cardoso,Atletico Madrid,CDM,23,25000000.0,United States,"Sep 20, 2001 (23)"
6.0,Koke,Atletico Madrid,CM,33,8000000.0,Spain,"Jan 8, 1992 (33)"
14.0,Marcos Llorente,Atletico Madrid,CM,30,25000000.0,Spain,"Jan 30, 1995 (30)"
